# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	12680	CSNK1E	11	4.903479e-12	9.207263e-8	8.370239e-9	1.227659e+1	1.221837e+0	15	5.996748e-5	7.361963e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr22-101,chr22-138,chr22-171,chr22-205,chr22-210,chr22-223,chr22-256,chr22-320,chr22-412,chr22-545,chr22-669,chr22-68,chr22-73,chr22-83,chr22-877	CSNK1E
Ensembl Genes	5037	SCARB1	12	5.289639e-12	9.932355e-8	8.276963e-9	7.311803e+0	2.872069e+0	21	1.409604e-4	1.030675e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr12-127,chr12-140,chr12-156,chr12-1690,chr12-173,chr12-226,chr12-232,chr12-304,chr12-321,chr12-383,chr12-425,chr12-493,chr12-494,chr12-505,chr12-535,chr12-561,chr12-584,chr12-607,chr12-67,chr12-673,chr12-888	SCARB1
Ensembl Genes	12029	ZMYND8	13	1.315610e-10	2.470321e-6	1.900247e-7	5.514939e+0	4.170491e+0	23	2.046867e-4	1.128834e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr20-1106,chr20-115,chr20-118,chr20-121,chr20-1356,chr20-137,chr20-142,chr20-161,chr20-1670,chr20-180,chr20-182,chr20-193,chr20-234,chr20-240,chr20-251,chr20-299,chr20-368,chr20-38,chr20-419,chr20-555,chr20-61,chr20-698,chr20-8	ZMYND8
Ensembl Genes	197	EFHD2	14	3.135269e-10	5.887095e-6	4.205068e-7	8.241617e+0	1.941366e+0	16	9.528179e-5	7.852761e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr1-1060,chr1-108,chr1-1215,chr1-1275,chr1-1791,chr1-2449,chr1-3017,chr1-303,chr1-380,chr1-428,chr1-472,chr1-698,chr1-737,chr1-881,chr1-971,chr1-972	EFHD2
Ensembl Genes	8531	RHBDF2	15	5.942475e-9	1.115819e-4	7.438790e-6	1.687790e+1	5.332417e-1	9	2.617137e-5	4.417178e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr17-1157,chr17-181,chr17-1853,chr17-197,chr17-260,chr17-276,chr17-323,chr17-345,chr17-409	RHBDF2
Ensembl Genes	8591	BAHCC1	16	7.465137e-9	1.401729e-4	8.760805e-6	9.824509e+0	1.221435e+0	12	5.994773e-5	5.889571e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr17-1235,chr17-1236,chr17-1592,chr17-164,chr17-1879,chr17-212,chr17-329,chr17-432,chr17-437,chr17-572,chr17-97,chr17-984	BAHCC1
Ensembl Genes	12682	KCNJ4	17	7.815216e-9	1.467463e-4	8.632136e-6	1.127458e+1	9.756458e-1	11	4.788446e-5	5.398773e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr22-101,chr22-171,chr22-205,chr22-210,chr22-223,chr22-320,chr22-412,chr22-545,chr22-804,chr22-83,chr22-877	KCNJ4
Ensembl Genes	10605	HAAO	18	7.983130e-9	1.498992e-4	8.327735e-6	5.686992e+0	3.165118e+0	18	1.553432e-4	8.834356e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr2-105,chr2-1154,chr2-131,chr2-1464,chr2-1752,chr2-1877,chr2-2004,chr2-219,chr2-315,chr2-3416,chr2-391,chr2-601,chr2-776,chr2-777,chr2-907,chr2-942,chr2-943,chr2-95	HAAO
Ensembl Genes	1934	IRF2BP2	19	1.241980e-8	2.332066e-4	1.227403e-5	4.702754e+0	4.465468e+0	21	2.191641e-4	1.030675e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr1-1102,chr1-1141,chr1-1331,chr1-1395,chr1-1470,chr1-149,chr1-1546,chr1-1882,chr1-2195,chr1-236,chr1-297,chr1-372,chr1-399,chr1-406,chr1-475,chr1-476,chr1-494,chr1-530,chr1-542,chr1-770,chr1-875	IRF2BP2
Ensembl Genes	4880	ANKRD13A	20	2.976271e-8	5.588544e-4	2.794272e-5	1.154792e+1	8.659568e-1	10	4.250095e-5	4.907975e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr12-1078,chr12-166,chr12-21,chr12-261,chr12-313,chr12-32,chr12-60,chr12-616,chr12-617,chr12-68	ANKRD13A
Ensembl Genes	8592	ACTG1	21	3.496602e-8	6.565570e-4	3.126462e-5	1.134769e+1	8.812363e-1	10	4.325086e-5	4.907975e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr17-1235,chr17-1236,chr17-1592,chr17-164,chr17-1879,chr17-218,chr17-432,chr17-572,chr17-97,chr17-984	ACTG1
Ensembl Genes	5053	ADGRD1	22	5.195691e-8	9.755949e-4	4.434522e-5	3.979739e+0	5.779274e+0	23	2.836453e-4	1.128834e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr12-1029,chr12-137,chr12-1541,chr12-158,chr12-1697,chr12-1698,chr12-199,chr12-203,chr12-240,chr12-241,chr12-322,chr12-392,chr12-413,chr12-427,chr12-479,chr12-495,chr12-587,chr12-588,chr12-589,chr12-716,chr12-753,chr12-795,chr12-956	ADGRD1
Ensembl Genes	5626	ARF6	23	5.741824e-8	1.078142e-3	4.687575e-5	7.283140e+0	1.784944e+0	13	8.760463e-5	6.380368e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr14-1056,chr14-1057,chr14-1349,chr14-211,chr14-221,chr14-304,chr14-305,chr14-314,chr14-444,chr14-495,chr14-639,chr14-640,chr14-778	ARF6
Ensembl Genes	9575	CEBPA	24	7.206228e-8	1.353113e-3	5.637973e-5	1.048745e+1	9.535207e-1	10	4.679856e-5	4.907975e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr19-1172,chr19-1260,chr19-1493,chr19-1620,chr19-215,chr19-323,chr19-324,chr19-366,chr19-397,chr19-561	CEBPA
Ensembl Genes	15565	PSMG4	25	9.343396e-8	1.754409e-3	7.017638e-5	7.764715e+0	1.545453e+0	12	7.585044e-5	5.889571e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr6-161,chr6-170,chr6-1744,chr6-248,chr6-26,chr6-277,chr6-286,chr6-300,chr6-408,chr6-441,chr6-519,chr6-84	PSMG4
Ensembl Genes	18044	NDRG1	26	1.293417e-7	2.428649e-3	9.340958e-5	5.708050e+0	2.627868e+0	15	1.289751e-4	7.361963e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr8-1300,chr8-1301,chr8-177,chr8-258,chr8-268,chr8-347,chr8-380,chr8-396,chr8-397,chr8-41,chr8-482,chr8-567,chr8-739,chr8-796,chr8-88	NDRG1
Ensembl Genes	18802	GBGT1	27	1.649390e-7	3.097060e-3	1.147059e-4	1.405370e+1	5.692452e-1	8	2.793841e-5	3.926380e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr9-1227,chr9-1228,chr9-298,chr9-377,chr9-452,chr9-472,chr9-545,chr9-563	GBGT1
Ensembl Genes	13972	ADRA2C	28	1.684097e-7	3.162229e-3	1.129367e-4	4.189281e+0	4.774089e+0	20	2.343111e-4	9.815951e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr4-102,chr4-1063,chr4-138,chr4-190,chr4-229,chr4-279,chr4-297,chr4-316,chr4-337,chr4-44,chr4-46,chr4-608,chr4-63,chr4-663,chr4-70,chr4-77,chr4-844,chr4-952,chr4-953,chr4-954	ADRA2C
Ensembl Genes	9005	GADD45B	29	2.017340e-7	3.787959e-3	1.306193e-4	7.217651e+0	1.662591e+0	12	8.159955e-5	5.889571e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr19-1319,chr19-1441,chr19-308,chr19-329,chr19-341,chr19-436,chr19-458,chr19-611,chr19-693,chr19-712,chr19-808,chr19-94	GADD45B
Ensembl Genes	109	ENO1	30	2.241392e-7	4.208662e-3	1.402887e-4	1.095772e+1	8.213391e-1	9	4.031112e-5	4.417178e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr1-1011,chr1-1059,chr1-186,chr1-1899,chr1-2436,chr1-2996,chr1-328,chr1-653,chr1-848	ENO1
Ensembl Genes	15981	PIM1	31	2.658959e-7	4.992727e-3	1.610557e-4	7.029618e+0	1.707063e+0	12	8.378222e-5	5.889571e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr6-184,chr6-210,chr6-239,chr6-267,chr6-278,chr6-33,chr6-523,chr6-539,chr6-609,chr6-88,chr6-917,chr6-968	PIM1
Ensembl Genes	10695	SERTAD2	32	2.701963e-7	5.073476e-3	1.585461e-4	5.024845e+0	3.184178e+0	16	1.562787e-4	7.852761e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr2-1288,chr2-230,chr2-2819,chr2-343,chr2-379,chr2-392,chr2-441,chr2-456,chr2-518,chr2-592,chr2-593,chr2-766,chr2-782,chr2-783,chr2-802,chr2-910	SERTAD2
Ensembl Genes	12028	EYA2	33	2.771942e-7	5.204875e-3	1.577235e-4	4.245786e+0	4.475026e+0	19	2.196332e-4	9.325153e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr20-1106,chr20-115,chr20-1356,chr20-137,chr20-142,chr20-1670,chr20-180,chr20-182,chr20-234,chr20-261,chr20-336,chr20-368,chr20-38,chr20-555,chr20-677,chr20-698,chr20-764,chr20-765,chr20-8	EYA2
Ensembl Genes	13973	OTOP1	34	4.791114e-7	8.996275e-3	2.645963e-4	4.807866e+0	3.327879e+0	16	1.633315e-4	7.852761e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr4-102,chr4-1063,chr4-138,chr4-190,chr4-229,chr4-279,chr4-297,chr4-316,chr4-337,chr4-44,chr4-608,chr4-63,chr4-70,chr4-77,chr4-953,chr4-954	OTOP1
Ensembl Genes	12552	ZNRF3	35	5.196590e-7	9.757637e-3	2.787896e-4	6.590602e+0	1.820775e+0	12	8.936317e-5	5.889571e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr22-133,chr22-197,chr22-284,chr22-295,chr22-328,chr22-388,chr22-404,chr22-450,chr22-657,chr22-72,chr22-75,chr22-77	ZNRF3
Ensembl Genes	1935	TOMM20	36	5.416659e-7	1.017086e-2	2.825239e-4	4.489693e+0	3.786451e+0	17	1.858381e-4	8.343558e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr1-102,chr1-1102,chr1-1141,chr1-1331,chr1-1470,chr1-1546,chr1-2195,chr1-297,chr1-399,chr1-406,chr1-475,chr1-476,chr1-494,chr1-530,chr1-542,chr1-770,chr1-875	TOMM20
Ensembl Genes	7417	KLHDC4	37	5.634569e-7	1.058003e-2	2.859468e-4	6.539189e+0	1.835090e+0	12	9.006576e-5	5.889571e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr16-112,chr16-1593,chr16-187,chr16-249,chr16-311,chr16-498,chr16-499,chr16-559,chr16-651,chr16-745,chr16-842,chr16-946	KLHDC4
Ensembl Genes	10600	EML4	38	6.321138e-7	1.186920e-2	3.123474e-4	5.875856e+0	2.212444e+0	13	1.085862e-4	6.380368e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr2-146,chr2-159,chr2-1873,chr2-211,chr2-282,chr2-325,chr2-56,chr2-661,chr2-823,chr2-824,chr2-854,chr2-882,chr2-97	EML4
Ensembl Genes	2391	ZMIZ1	39	6.751572e-7	1.267743e-2	3.250622e-4	3.056965e+0	8.832289e+0	27	4.334866e-4	1.325153e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr10-1027,chr10-112,chr10-1260,chr10-1261,chr10-1397,chr10-1398,chr10-1577,chr10-208,chr10-228,chr10-246,chr10-251,chr10-264,chr10-284,chr10-383,chr10-384,chr10-441,chr10-460,chr10-479,chr10-521,chr10-57,chr10-69,chr10-712,chr10-713,chr10-764,chr10-765,chr10-768,chr10-885	ZMIZ1
Ensembl Genes	12044	SNAI1	40	7.262487e-7	1.363677e-2	3.409193e-4	8.117946e+0	1.231839e+0	10	6.045834e-5	4.907975e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr20-1365,chr20-138,chr20-221,chr20-362,chr20-414,chr20-447,chr20-485,chr20-767,chr20-800,chr20-915	SNAI1
Ensembl Genes	6810	C16orf72	41	7.302929e-7	1.371271e-2	3.344563e-4	3.209249e+0	7.789984e+0	25	3.823305e-4	1.226994e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr16-1005,chr16-1006,chr16-1166,chr16-1167,chr16-1314,chr16-1401,chr16-143,chr16-1503,chr16-1753,chr16-2125,chr16-22,chr16-236,chr16-237,chr16-256,chr16-288,chr16-298,chr16-316,chr16-47,chr16-481,chr16-586,chr16-6,chr16-643,chr16-706,chr16-74,chr16-885	C16orf72
Ensembl Genes	18825	RXRA	42	7.579002e-7	1.423109e-2	3.388355e-4	4.639364e+0	3.448749e+0	16	1.692637e-4	7.852761e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr9-1047,chr9-107,chr9-1229,chr9-139,chr9-1511,chr9-255,chr9-328,chr9-399,chr9-444,chr9-57,chr9-625,chr9-739,chr9-740,chr9-837,chr9-896,chr9-968	RXRA
Ensembl Genes	8545	SEPT9	43	8.869003e-7	1.665333e-2	3.872867e-4	3.484504e+0	6.313667e+0	22	3.098732e-4	1.079755e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr17-116,chr17-1160,chr17-1231,chr17-130,chr17-1302,chr17-1304,chr17-155,chr17-1863,chr17-2507,chr17-306,chr17-383,chr17-410,chr17-443,chr17-463,chr17-556,chr17-59,chr17-598,chr17-71,chr17-729,chr17-78,chr17-933,chr17-934	SEPT9
Ensembl Genes	13946	TACC3	44	9.729065e-7	1.826827e-2	4.151878e-4	1.406187e+1	4.978000e-1	7	2.443190e-5	3.435583e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr4-105,chr4-200,chr4-264,chr4-315,chr4-47,chr4-69,chr4-87	TACC3
Ensembl Genes	12817	PANX2	45	1.026769e-6	1.927964e-2	4.284365e-4	1.098800e+1	7.280671e-1	8	3.573335e-5	3.926380e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr22-156,chr22-267,chr22-323,chr22-38,chr22-465,chr22-62,chr22-693,chr22-829	PANX2
Ensembl Genes	10696	SLC1A4	46	1.122807e-6	2.108295e-2	4.583249e-4	5.143291e+0	2.721993e+0	14	1.335947e-4	6.871166e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr2-1288,chr2-230,chr2-2819,chr2-343,chr2-379,chr2-392,chr2-518,chr2-592,chr2-593,chr2-766,chr2-782,chr2-783,chr2-802,chr2-910	SLC1A4
Ensembl Genes	12038	KCNB1	47	1.162654e-6	2.183115e-2	4.644926e-4	6.093696e+0	1.969248e+0	12	9.665022e-5	5.889571e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr20-1044,chr20-1045,chr20-1109,chr20-111,chr20-1566,chr20-178,chr20-28,chr20-294,chr20-484,chr20-524,chr20-731,chr20-870	KCNB1
Ensembl Genes	1044	ATP1A1	48	1.313345e-6	2.466068e-2	5.137641e-4	4.729449e+0	3.171617e+0	15	1.556622e-4	7.361963e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr1-1087,chr1-1305,chr1-1361,chr1-138,chr1-2343,chr1-235,chr1-278,chr1-547,chr1-577,chr1-591,chr1-832,chr1-833,chr1-894,chr1-949,chr1-950	ATP1A1
Ensembl Genes	5054	SFSWAP	49	1.523085e-6	2.859897e-2	5.836524e-4	3.488408e+0	6.019937e+0	21	2.954571e-4	1.030675e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr12-1029,chr12-137,chr12-1541,chr12-158,chr12-1698,chr12-199,chr12-203,chr12-241,chr12-322,chr12-392,chr12-427,chr12-479,chr12-495,chr12-587,chr12-588,chr12-589,chr12-716,chr12-753,chr12-754,chr12-795,chr12-956	SFSWAP
Ensembl Genes	9006	GNG7	50	1.696563e-6	3.185636e-2	6.371273e-4	6.518851e+0	1.687414e+0	11	8.281786e-5	5.398773e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr19-1319,chr19-1441,chr19-308,chr19-341,chr19-436,chr19-458,chr19-611,chr19-693,chr19-712,chr19-808,chr19-94	GNG7
Ensembl Genes	7105	NKD1	51	2.530697e-6	4.751890e-2	9.317431e-4	5.643566e+0	2.126315e+0	12	1.043590e-4	5.889571e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr16-1026,chr16-1134,chr16-125,chr16-1345,chr16-154,chr16-205,chr16-234,chr16-350,chr16-450,chr16-472,chr16-577,chr16-762	NKD1
Ensembl Genes	9025	NFIC	52	2.532625e-6	4.755510e-2	9.145211e-4	6.247969e+0	1.760572e+0	11	8.640845e-5	5.398773e-4	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr19-1086,chr19-1561,chr19-1563,chr19-258,chr19-395,chr19-485,chr19-495,chr19-657,chr19-674,chr19-694,chr19-884	NFIC
